Accession,Species,Genus,Family,Isolate,Virus Taxonomic ID,Virus Name,Length,Isolate Lineage source,leiden,genus,species,infer_genus,cdhit_representative,orf_id,aa_length,phylo_cluster,orf1_genus
MN770262.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-552-25,93678,TTV-like mini virus,2881,"",15,207,1543,Betatorquevirus,MN770262.1,MN770262.1_1,664,5,Betatorquevirus
MN770260.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-393-24,93678,TTV-like mini virus,2819,"",15,43,577,Betatorquevirus,MN770260.1,MN770260.1_1,650,5,Betatorquevirus
MN770259.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-143,93678,TTV-like mini virus,2764,"",54,16,2123,Betatorquevirus,MN770259.1,MN770259.1_1,629,3,Betatorquevirus
MN770252.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-327-10,93678,TTV-like mini virus,2939,"",3,143,1164,Betatorquevirus,MN770252.1,MN770252.1_1,675,14,Betatorquevirus
MN770250.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-316-24,93678,TTV-like mini virus,2907,"",12,294,163,Betatorquevirus,MN770250.1,MN770250.1_1,660,4,Betatorquevirus
MN770249.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-315-23,93678,TTV-like mini virus,2778,"",54,16,2095,Betatorquevirus,MN770249.1,MN770249.1_1,633,3,Betatorquevirus
MN770248.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-300-21,93678,TTV-like mini virus,2863,"",132,133,293,Betatorquevirus,MN770248.1,MN770248.1_1,672,27,Hetorquevirus
MN770246.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-236-2,93678,TTV-like mini virus,2863,"",12,314,217,Betatorquevirus,MN770246.1,MN770246.1_1,657,4,Betatorquevirus
MN770244.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-230-12,93678,TTV-like mini virus,2887,"",96,161,211,Betatorquevirus,MN770244.1,MN770244.1_1,669,7,Betatorquevirus
MN770243.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-124-41,93678,TTV-like mini virus,2764,"",54,16,2122,Betatorquevirus,MN770243.1,MN770243.1_1,629,3,Betatorquevirus
MN770239.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-453-9,93678,TTV-like mini virus,2872,"",83,90,30,Betatorquevirus,MN770239.1,MN770239.1_1,669,9,Betatorquevirus
MN770238.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-36,93678,TTV-like mini virus,2923,"",37,58,1239,Betatorquevirus,MN770238.1,MN770238.1_1,685,20,Betatorquevirus
MN770236.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-254-15,93678,TTV-like mini virus,2982,"",62,794,1022,Betatorquevirus,MN770236.1,MN770236.1_1,681,23,Betatorquevirus
MN770235.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-233-10,93678,TTV-like mini virus,2949,"",145,814,1121,Betatorquevirus,MN770235.1,MN770235.1_1,684,23,Betatorquevirus
MN770234.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-514-16,93678,TTV-like mini virus,2887,"",164,259,1511,Betatorquevirus,MN770234.1,MN770234.1_1,650,21,Betatorquevirus
MN770233.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-49-15,93678,TTV-like mini virus,2831,"",124,232,255,Betatorquevirus,MN770233.1,MN770233.1_1,656,24,Betatorquevirus
MN770232.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-578-11,93678,TTV-like mini virus,2919,"",30,163,274,Betatorquevirus,MN770232.1,MN770232.1_1,680,7,Betatorquevirus
MN770231.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-577-88,93678,TTV-like mini virus,2919,"",30,163,1265,Betatorquevirus,MN770231.1,MN770231.1_1,680,7,Betatorquevirus
MN770230.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-297-97,93678,TTV-like mini virus,2832,"",9,496,1876,Betatorquevirus,MN770230.1,MN770230.1_1,666,24,Betatorquevirus
MN770229.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-404-10,93678,TTV-like mini virus,2844,"",200,557,1802,Betatorquevirus,MN770229.1,MN770229.1_1,667,24,Betatorquevirus
MN770228.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-402-19,93678,TTV-like mini virus,2842,"",200,557,1812,Betatorquevirus,MN770228.1,MN770228.1_1,667,24,Betatorquevirus
MN770227.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-39-4,93678,TTV-like mini virus,2933,"",188,302,406,Betatorquevirus,MN770227.1,MN770227.1_1,672,22,Betatorquevirus
MN770224.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-833-8,93678,TTV-like mini virus,2886,"",239,455,265,Betatorquevirus,MN770224.1,MN770224.1_1,674,24,Betatorquevirus
MN770220.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-55-13,93678,TTV-like mini virus,2897,"",90,624,437,Betatorquevirus,MN770220.1,MN770220.1_1,657,21,Betatorquevirus
MN770219.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-100,93678,TTV-like mini virus,2841,"",9,213,1819,Betatorquevirus,MN770219.1,MN770219.1_1,671,24,Betatorquevirus
MN770218.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-367-22,93678,TTV-like mini virus,2919,"",30,163,1264,Betatorquevirus,MN770218.1,MN770218.1_1,680,7,Betatorquevirus
MN770217.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-275-29,93678,TTV-like mini virus,2957,"",1,5,1092,Betatorquevirus,MN770217.1,MN770217.1_1,669,10,Betatorquevirus
MN770216.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-263-12,93678,TTV-like mini virus,2919,"",30,163,1263,Betatorquevirus,MN770216.1,MN770216.1_1,680,7,Betatorquevirus
MN770214.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-121-13,93678,TTV-like mini virus,2894,"",180,865,1453,Betatorquevirus,MN770214.1,MN770214.1_1,671,9,Betatorquevirus
MN770213.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-572-21,93678,TTV-like mini virus,2922,"",67,442,229,Betatorquevirus,MN770213.1,MN770213.1_1,568,20,Betatorquevirus
MN770209.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-87-45,93678,TTV-like mini virus,2854,"",233,919,1735,Betatorquevirus,MN770209.1,MN770209.1_1,650,2,Betatorquevirus
MN770204.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-670-5,93678,TTV-like mini virus,2945,"",28,322,107,Betatorquevirus,MN770204.1,MN770204.1_1,679,6,Betatorquevirus
MN770202.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-628-25,93678,TTV-like mini virus,2952,"",3,429,162,Betatorquevirus,MN770202.1,MN770202.1_1,676,14,Betatorquevirus
MN770201.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-615-694,93678,TTV-like mini virus,2911,"",37,58,1320,Betatorquevirus,MN770201.1,MN770201.1_1,681,20,Betatorquevirus
MN770199.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-51-9,93678,TTV-like mini virus,2976,"",3,45,247,Betatorquevirus,MN770199.1,MN770199.1_1,678,14,Betatorquevirus
MN770196.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-442-9,93678,TTV-like mini virus,2960,"",68,305,1083,Betatorquevirus,MN770196.1,MN770196.1_1,677,20,Betatorquevirus
MN770194.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-413-6,93678,TTV-like mini virus,2833,"",118,113,1871,Betatorquevirus,MN770194.1,MN770194.1_1,669,24,Betatorquevirus
MN770193.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-26,93678,TTV-like mini virus,2923,"",2,184,246,Betatorquevirus,MN770193.1,MN770193.1_1,679,16,Betatorquevirus
MN770191.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-110,93678,TTV-like mini virus,2877,"",8,83,1575,Betatorquevirus,MN770191.1,MN770191.1_1,661,17,Betatorquevirus
MN770190.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-38-5,93678,TTV-like mini virus,2938,"",67,53,168,Betatorquevirus,MN770190.1,MN770190.1_1,670,20,Betatorquevirus
MN770189.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-380-68,93678,TTV-like mini virus,2817,"",0,214,1950,Betatorquevirus,MN770189.1,MN770189.1_1,656,2,Betatorquevirus
MN770187.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-369-26,93678,TTV-like mini virus,2810,"",0,0,1990,Betatorquevirus,MN770187.1,MN770187.1_1,659,2,Betatorquevirus
MN770185.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-349-15,93678,TTV-like mini virus,2939,"",3,626,441,Betatorquevirus,MN770185.1,MN770185.1_1,673,14,Betatorquevirus
MN770184.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-326-3,93678,TTV-like mini virus,2997,"",269,527,983,Betatorquevirus,MN770184.1,MN770184.1_1,676,22,Betatorquevirus
MN770181.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-317-7,93678,TTV-like mini virus,2906,"",4,209,528,Betatorquevirus,MN770181.1,MN770181.1_1,671,10,Betatorquevirus
MN770179.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-275-30,93678,TTV-like mini virus,2944,"",181,143,1143,Betatorquevirus,MN770179.1,MN770179.1_1,674,14,Betatorquevirus
MN770177.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-118-5,93678,TTV-like mini virus,2906,"",4,41,1351,Betatorquevirus,MN770177.1,MN770177.1_1,668,10,Betatorquevirus
MN770174.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-867-318,93678,TTV-like mini virus,2912,"",18,120,95,Betatorquevirus,MN770174.1,MN770174.1_1,671,17,Betatorquevirus
MN770172.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-77-88,93678,TTV-like mini virus,2950,"",37,58,1117,Betatorquevirus,MN770172.1,MN770172.1_1,685,20,Betatorquevirus
MN770170.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-692-0,93678,TTV-like mini virus,2992,"",6,117,199,Betatorquevirus,MN770170.1,MN770170.1_1,666,11,Betatorquevirus
MN770168.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-684-10,93678,TTV-like mini virus,2832,"",29,947,1875,Betatorquevirus,MN770168.1,MN770168.1_1,658,21,Betatorquevirus
MN770164.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-651-29,93678,TTV-like mini virus,2864,"",46,188,1671,Betatorquevirus,MN770164.1,MN770164.1_1,669,17,Betatorquevirus
MN770161.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-610-8,93678,TTV-like mini virus,3020,"",38,86,57,Betatorquevirus,MN770161.1,MN770161.1_1,679,12,Betatorquevirus
MN770160.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-604-5,93678,TTV-like mini virus,2994,"",34,786,991,Betatorquevirus,MN770160.1,MN770160.1_1,669,22,Betatorquevirus
MN770154.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-548-10,93678,TTV-like mini virus,2869,"",4,432,186,Betatorquevirus,MN770154.1,MN770154.1_1,660,10,Betatorquevirus
MN770153.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-504-7,93678,TTV-like mini virus,2891,"",10,94,1478,Betatorquevirus,MN770153.1,MN770153.1_1,662,13,Betatorquevirus
MN770149.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-49,93678,TTV-like mini virus,2897,"",17,352,1429,Betatorquevirus,MN770149.1,MN770149.1_1,673,7,Betatorquevirus
MN770148.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-145,93678,TTV-like mini virus,2810,"",45,7,330,Betatorquevirus,MN770148.1,MN770148.1_1,642,2,Betatorquevirus
MN770147.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-380-38,93678,TTV-like mini virus,2923,"",37,58,1238,Betatorquevirus,MN770147.1,MN770147.1_1,685,20,Betatorquevirus
MN770146.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-37-8,93678,TTV-like mini virus,2834,"",39,65,111,Betatorquevirus,MN770146.1,MN770146.1_1,649,2,Betatorquevirus
MN770145.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-374-7,93678,TTV-like mini virus,2907,"",2,141,509,Betatorquevirus,MN770145.1,MN770145.1_1,670,16,Betatorquevirus
MN770143.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-35-35,93678,TTV-like mini virus,2879,"",19,192,416,Betatorquevirus,MN770143.1,MN770143.1_1,661,16,Betatorquevirus
MN770140.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-331-19,93678,TTV-like mini virus,2884,"",37,58,1527,Betatorquevirus,MN770140.1,MN770140.1_1,681,20,Betatorquevirus
MN770138.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-313B-30,93678,TTV-like mini virus,2830,"",0,3,1889,Betatorquevirus,MN770138.1,MN770138.1_1,659,2,Betatorquevirus
MN770137.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-313A-25,93678,TTV-like mini virus,2911,"",37,58,1319,Betatorquevirus,MN770137.1,MN770137.1_1,681,20,Betatorquevirus
MN770136.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-31-21,93678,TTV-like mini virus,2899,"",40,156,135,Betatorquevirus,MN770136.1,MN770136.1_1,664,4,Betatorquevirus
MN770134.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-297-101,93678,TTV-like mini virus,2867,"",69,374,1648,Betatorquevirus,MN770134.1,MN770134.1_1,645,19,Betatorquevirus
MN770133.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-275-58,93678,TTV-like mini virus,2814,"",69,374,1971,Betatorquevirus,MN770133.1,MN770133.1_1,645,19,Betatorquevirus
MN770132.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-275-31,93678,TTV-like mini virus,2809,"",45,7,277,Betatorquevirus,MN770132.1,MN770132.1_1,642,2,Betatorquevirus
MN770131.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-267-9,93678,TTV-like mini virus,2985,"",22,17,16,Betatorquevirus,MN770131.1,MN770131.1_1,675,11,Betatorquevirus
MN770129.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-235-48,93678,TTV-like mini virus,2826,"",172,255,583,Betatorquevirus,MN770129.1,MN770129.1_1,639,3,Betatorquevirus
MN770128.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-225-3,93678,TTV-like mini virus,2957,"",34,317,405,Betatorquevirus,MN770128.1,MN770128.1_1,670,22,Betatorquevirus
MN770127.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-100A-24,93678,TTV-like mini virus,2942,"",34,312,327,Betatorquevirus,MN770127.1,MN770127.1_1,666,22,Betatorquevirus
MN770125.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-94-26,93678,TTV-like mini virus,2839,"",4,404,585,Betatorquevirus,MN770125.1,MN770125.1_1,654,10,Betatorquevirus
MN770124.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-94-10,93678,TTV-like mini virus,2972,"",44,129,115,Betatorquevirus,MN770124.1,MN770124.1_1,678,20,Betatorquevirus
MN770123.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-89-6,93678,TTV-like mini virus,2874,"",4,692,1605,Betatorquevirus,MN770123.1,MN770123.1_1,665,10,Betatorquevirus
MN770122.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-88-26,93678,TTV-like mini virus,2848,"",104,89,1782,Betatorquevirus,MN770122.1,MN770122.1_1,656,21,Betatorquevirus
MN770121.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-87-54,93678,TTV-like mini virus,2782,"",86,62,2085,Betatorquevirus,MN770121.1,MN770121.1_1,663,24,Betatorquevirus
MN770119.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-859-9,93678,TTV-like mini virus,2889,"",5,409,1498,Betatorquevirus,MN770119.1,MN770119.1_1,662,15,Betatorquevirus
MN770118.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-81-28,93678,TTV-like mini virus,2811,"",82,75,1986,Betatorquevirus,MN770118.1,MN770118.1_1,653,19,Betatorquevirus
MN770114.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-686-15,93678,TTV-like mini virus,2878,"",287,600,332,Betatorquevirus,MN770114.1,MN770114.1_1,662,22,Betatorquevirus
MN770112.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-676-2,93678,TTV-like mini virus,3046,"",3,50,510,Betatorquevirus,MN770112.1,MN770112.1_1,688,14,Betatorquevirus
MN770111.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-67-2,93678,TTV-like mini virus,2838,"",60,258,285,Betatorquevirus,MN770111.1,MN770111.1_1,667,20,Betatorquevirus
MN770109.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-650-7,93678,TTV-like mini virus,2889,"",87,634,498,Betatorquevirus,MN770109.1,MN770109.1_1,651,2,Betatorquevirus
MN770108.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-646-10,93678,TTV-like mini virus,2840,"",98,61,263,Betatorquevirus,MN770108.1,MN770108.1_1,648,2,Betatorquevirus
MN770106.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-628-41,93678,TTV-like mini virus,2866,"",46,29,1656,Betatorquevirus,MN770106.1,MN770106.1_1,665,17,Betatorquevirus
MN770105.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-628-26,93678,TTV-like mini virus,2915,"",10,839,1288,Betatorquevirus,MN770105.1,MN770105.1_1,661,13,Betatorquevirus
MN770104.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-611-157,93678,TTV-like mini virus,2821,"",48,488,1935,Betatorquevirus,MN770104.1,MN770104.1_1,642,19,Betatorquevirus
MN770103.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-611-142,93678,TTV-like mini virus,2897,"",7,513,1428,Betatorquevirus,MN770103.1,MN770103.1_1,675,20,Betatorquevirus
MN770101.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-609-15,93678,TTV-like mini virus,2852,"",46,499,1748,Betatorquevirus,MN770101.1,MN770101.1_1,665,17,Betatorquevirus
MN770099.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-590-68,93678,TTV-like mini virus,2802,"",235,344,2030,Betatorquevirus,MN770099.1,MN770099.1_1,671,24,Betatorquevirus
MN770097.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-587-43,93678,TTV-like mini virus,2915,"",149,518,1287,Betatorquevirus,MN770097.1,MN770097.1_1,666,8,Betatorquevirus
MN770094.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-581-41,93678,TTV-like mini virus,2848,"",104,89,1781,Betatorquevirus,MN770094.1,MN770094.1_1,656,21,Betatorquevirus
MN770093.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-581-25,93678,TTV-like mini virus,2845,"",94,307,316,Betatorquevirus,MN770093.1,MN770093.1_1,665,4,Betatorquevirus
MN770092.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-581-13,93678,TTV-like mini virus,2918,"",280,837,1270,Betatorquevirus,MN770092.1,MN770092.1_1,680,25,Betatorquevirus
MN770091.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-574-5,93678,TTV-like mini virus,2952,"",198,325,126,Betatorquevirus,MN770091.1,MN770091.1_1,684,27,Hetorquevirus
MN770088.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-558-10,93678,TTV-like mini virus,2845,"",94,307,1796,Betatorquevirus,MN770088.1,MN770088.1_1,665,4,Betatorquevirus
MN770087.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-555-10,93678,TTV-like mini virus,2923,"",31,34,1237,Betatorquevirus,MN770087.1,MN770087.1_1,667,16,Betatorquevirus
MN770086.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-542-36,93678,TTV-like mini virus,2836,"",118,113,178,Betatorquevirus,MN770086.1,MN770086.1_1,668,24,Betatorquevirus
MN770082.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-500-16,93678,TTV-like mini virus,2974,"",34,38,1041,Betatorquevirus,MN770082.1,MN770082.1_1,674,22,Betatorquevirus
MN770081.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-488-5,93678,TTV-like mini virus,2960,"",57,130,1082,Betatorquevirus,MN770081.1,MN770081.1_1,671,22,Betatorquevirus
MN770080.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-47-8,93678,TTV-like mini virus,2933,"",3,278,1190,Betatorquevirus,MN770080.1,MN770080.1_1,667,14,Betatorquevirus
MN770078.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-434-6,93678,TTV-like mini virus,2843,"",346,933,1807,Betatorquevirus,MN770078.1,MN770078.1_1,662,16,Betatorquevirus
MN770077.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-434-5,93678,TTV-like mini virus,2863,"",58,904,1675,Betatorquevirus,MN770077.1,MN770077.1_1,664,13,Betatorquevirus
MN770075.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-4-12,93678,TTV-like mini virus,2933,"",180,824,1189,Betatorquevirus,MN770075.1,MN770075.1_1,684,9,Betatorquevirus
MN770072.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-123,93678,TTV-like mini virus,2823,"",237,954,1929,Betatorquevirus,MN770072.1,MN770072.1_1,656,2,Betatorquevirus
MN770071.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-102,93678,TTV-like mini virus,2808,"",201,968,2005,Betatorquevirus,MN770071.1,MN770071.1_1,672,24,Betatorquevirus
MN770069.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-376-26,93678,TTV-like mini virus,2849,"",61,68,1767,Betatorquevirus,MN770069.1,MN770069.1_1,648,21,Betatorquevirus
MN770067.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-367-33,93678,TTV-like mini virus,2866,"",81,505,1655,Betatorquevirus,MN770067.1,MN770067.1_1,654,19,Betatorquevirus
MN770064.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-359-21,93678,TTV-like mini virus,2851,"",97,924,1754,Betatorquevirus,MN770064.1,MN770064.1_1,667,16,Betatorquevirus
MN770063.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-35-44,93678,TTV-like mini virus,2918,"",22,261,1269,Betatorquevirus,MN770063.1,MN770063.1_1,671,11,Betatorquevirus
MN770062.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-354-0,93678,TTV-like mini virus,2901,"",2,629,466,Betatorquevirus,MN770062.1,MN770062.1_1,664,16,Betatorquevirus
MN770061.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-353-19,93678,TTV-like mini virus,2934,"",145,564,1182,Betatorquevirus,MN770061.1,MN770061.1_1,688,23,Betatorquevirus
MN770060.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-353-18,93678,TTV-like mini virus,2982,"",38,147,1021,Betatorquevirus,MN770060.1,MN770060.1_1,670,12,Betatorquevirus
MN770059.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-35-28,93678,TTV-like mini virus,2900,"",30,389,1405,Betatorquevirus,MN770059.1,MN770059.1_1,674,7,Betatorquevirus
MN770056.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-349-24,93678,TTV-like mini virus,2916,"",52,300,267,Betatorquevirus,MN770056.1,MN770056.1_1,674,11,Betatorquevirus
MN770053.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-333-17,93678,TTV-like mini virus,2865,"",59,264,1663,Betatorquevirus,MN770053.1,MN770053.1_1,655,15,Betatorquevirus
MN770051.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-314-18,93678,TTV-like mini virus,2959,"",139,309,318,Betatorquevirus,MN770051.1,MN770051.1_1,670,12,Betatorquevirus
MN770050.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-311-17,93678,TTV-like mini virus,2836,"",46,29,1854,Betatorquevirus,MN770050.1,MN770050.1_1,664,17,Betatorquevirus
MN770049.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-306B-9,93678,TTV-like mini virus,2967,"",140,310,215,Betatorquevirus,MN770049.1,MN770049.1_1,675,5,Betatorquevirus
MN770046.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-275-43,93678,TTV-like mini virus,2886,"",225,636,506,Betatorquevirus,MN770046.1,MN770046.1_1,670,7,Betatorquevirus
MN770045.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-275-24,93678,TTV-like mini virus,2978,"",108,796,1028,Betatorquevirus,MN770045.1,MN770045.1_1,681,18,Betatorquevirus
MN770044.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-274-12,93678,TTV-like mini virus,2974,"",34,38,36,Betatorquevirus,MN770044.1,MN770044.1_1,674,22,Betatorquevirus
MN770040.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-235-37,93678,TTV-like mini virus,2914,"",47,588,1293,Betatorquevirus,MN770040.1,MN770040.1_1,685,20,Betatorquevirus
MN770037.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-227-10,93678,TTV-like mini virus,2950,"",28,427,501,Betatorquevirus,MN770037.1,MN770037.1_1,679,6,Betatorquevirus
MN770036.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-224-13,93678,TTV-like mini virus,2963,"",150,178,49,Betatorquevirus,MN770036.1,MN770036.1_1,677,22,Betatorquevirus
MN770034.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-121-16,93678,TTV-like mini virus,2802,"",371,976,2029,Betatorquevirus,MN770034.1,MN770034.1_1,653,2,Betatorquevirus
MN770031.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-113-25,93678,TTV-like mini virus,2838,"",98,61,1842,Betatorquevirus,MN770031.1,MN770031.1_1,648,2,Betatorquevirus
MN770030.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-102-43,93678,TTV-like mini virus,2987,"",33,1,1011,Betatorquevirus,MN770030.1,MN770030.1_1,668,5,Betatorquevirus
MN770028.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-87-35,93678,TTV-like mini virus,2849,"",49,359,1766,Betatorquevirus,MN770028.1,MN770028.1_1,651,13,Betatorquevirus
