Accession,Species,Genus,Family,Isolate,Virus Taxonomic ID,Virus Name,Length,Isolate Lineage source,leiden,genus,species,infer_genus,cdhit_representative,orf_id,aa_length
MN770609.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-80,93678,TTV-like mini virus,2911,"",18,120,95,Betatorquevirus,MN770174.1,MN770609.1_1,671
MN770608.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-66,93678,TTV-like mini virus,2873,"",144,218,1610,Betatorquevirus,MN770608.1,MN770608.1_1,540
MN770607.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-59,93678,TTV-like mini virus,2884,"",17,880,1529,Betatorquevirus,MN770607.1,MN770607.1_1,666
MN770606.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-58,93678,TTV-like mini virus,2947,"",23,47,27,Betatorquevirus,OZ258731.1,MN770606.1_1,672
MN770605.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-48,93678,TTV-like mini virus,2915,"",2,640,524,Betatorquevirus,MN770590.1,MN770605.1_1,672
MN770604.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-47,93678,TTV-like mini virus,2899,"",110,238,148,Betatorquevirus,MN770367.1,MN770604.1_1,676
MN770603.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-39,93678,TTV-like mini virus,2907,"",345,846,1346,Betatorquevirus,MN770603.1,MN770603.1_1,671
MN770602.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-34,93678,TTV-like mini virus,2910,"",18,120,1329,Betatorquevirus,MN770602.1,MN770602.1_1,671
MN770601.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-25,93678,TTV-like mini virus,2933,"",140,635,500,Betatorquevirus,MN770601.1,MN770601.1_1,672
MN770600.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-155,93678,TTV-like mini virus,2813,"",45,610,368,Betatorquevirus,MN770600.1,MN770600.1_1,643
MN770599.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-140,93678,TTV-like mini virus,2845,"",15,103,6,Betatorquevirus,MN770479.1,MN770599.1_1,652
MN770598.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-132,93678,TTV-like mini virus,2871,"",87,895,1623,Betatorquevirus,MN770598.1,MN770598.1_1,653
MN770597.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-130,93678,TTV-like mini virus,2821,"",50,114,348,Betatorquevirus,MN770597.1,MN770597.1_1,660
MN770596.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-115,93678,TTV-like mini virus,2901,"",18,22,234,Betatorquevirus,MN770569.1,MN770596.1_1,668
MN770595.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-113,93678,TTV-like mini virus,2864,"",100,54,43,Betatorquevirus,MN771237.1,MN770595.1_1,656
MN770594.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-111,93678,TTV-like mini virus,2913,"",17,42,650,Betatorquevirus,KM259873.1,MN770594.1_1,674
MN770593.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-109,93678,TTV-like mini virus,2895,"",61,502,1448,Betatorquevirus,MN770593.1,MN770593.1_1,657
MN770592.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-106,93678,TTV-like mini virus,2897,"",1,102,42,Betatorquevirus,MN770531.1,MN770592.1_1,663
MN770591.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-104,93678,TTV-like mini virus,2899,"",4,257,159,Betatorquevirus,MN770485.1,MN770591.1_1,668
MN770590.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-383-1,93678,TTV-like mini virus,2915,"",2,640,524,Betatorquevirus,MN770590.1,MN770590.1_1,587
MN770589.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-380-62,93678,TTV-like mini virus,2853,"",46,499,1739,Betatorquevirus,MN770589.1,MN770589.1_1,665
MN770588.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-380-53,93678,TTV-like mini virus,2815,"",102,675,1963,Betatorquevirus,MN770588.1,MN770588.1_1,652
MN770587.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-380-36,93678,TTV-like mini virus,2884,"",91,333,149,Betatorquevirus,MN769207.1,MN770587.1_1,664
MN770586.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-376-12,93678,TTV-like mini virus,2921,"",17,183,176,Betatorquevirus,MN770342.1,MN770586.1_1,678
MN770585.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-37-6,93678,TTV-like mini virus,2896,"",30,448,242,Betatorquevirus,MN770585.1,MN770585.1_1,674
MN770584.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-373-17,93678,TTV-like mini virus,2874,"",21,648,540,Betatorquevirus,MN770584.1,MN770584.1_1,662
MN770583.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-369-20,93678,TTV-like mini virus,2899,"",106,142,556,Betatorquevirus,MN770538.1,MN770583.1_1,669
MN770582.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-367-24,93678,TTV-like mini virus,2928,"",11,138,24,Betatorquevirus,MN770341.1,MN770582.1_1,673
MN770581.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-367-21,93678,TTV-like mini virus,2940,"",129,347,343,Betatorquevirus,MN770581.1,MN770581.1_1,676
MN770580.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-364-11,93678,TTV-like mini virus,2868,"",4,432,186,Betatorquevirus,MN770154.1,MN770580.1_1,660
MN770579.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-362-9,93678,TTV-like mini virus,2953,"",57,282,1109,Betatorquevirus,MN770579.1,MN770579.1_1,670
MN770578.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-362-26,93678,TTV-like mini virus,2752,"",84,321,103,Betatorquevirus,MN770812.1,MN770578.1_1,646
MN770577.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-362-23,93678,TTV-like mini virus,2790,"",131,165,2068,Betatorquevirus,MN770577.1,MN770577.1_1,647
MN770576.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-361-33,93678,TTV-like mini virus,2825,"",9,556,1913,Betatorquevirus,MN770576.1,MN770576.1_1,661
MN770575.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-359-15,93678,TTV-like mini virus,2845,"",15,103,6,Betatorquevirus,MN770479.1,MN770575.1_1,652
MN770574.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-359-13,93678,TTV-like mini virus,2879,"",21,96,179,Betatorquevirus,MN769544.1,MN770574.1_1,658
MN770573.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-35-66,93678,TTV-like mini virus,2845,"",15,103,6,Betatorquevirus,MN770479.1,MN770573.1_1,652
MN770572.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-35-57,93678,TTV-like mini virus,2905,"",4,209,528,Betatorquevirus,MN770181.1,MN770572.1_1,671
MN770571.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-35-51,93678,TTV-like mini virus,2921,"",1,132,113,Betatorquevirus,MN769900.1,MN770571.1_1,671
MN770570.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-35-45,93678,TTV-like mini virus,2868,"",55,100,39,Betatorquevirus,MK212030.1,MN770570.1_1,660
MN770569.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-35-43,93678,TTV-like mini virus,2901,"",18,22,234,Betatorquevirus,MN770569.1,MN770569.1_1,668
MN770568.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-353-24,93678,TTV-like mini virus,2894,"",18,22,86,Betatorquevirus,MN770337.1,MN770568.1_1,667
MN770567.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-353-122,93678,TTV-like mini virus,2586,"",85,37,2187,Betatorquevirus,MN770567.1,MN770567.1_1,644
MN770566.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-352-27,93678,TTV-like mini virus,2796,"",131,165,2048,Betatorquevirus,MN770452.1,MN770566.1_1,649
MN770565.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-352-14,93678,TTV-like mini virus,2840,"",82,378,1827,Betatorquevirus,MN770565.1,MN770565.1_1,656
MN770564.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-352-10,93678,TTV-like mini virus,2946,"",149,396,1139,Betatorquevirus,MN770564.1,MN770564.1_1,668
MN770563.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-350-24,93678,TTV-like mini virus,2902,"",277,574,1386,Betatorquevirus,MN770563.1,MN770563.1_1,666
MN770562.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-350-20,93678,TTV-like mini virus,2947,"",23,47,27,Betatorquevirus,OZ258731.1,MN770562.1_1,672
MN770561.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-349-64,93678,TTV-like mini virus,2747,"",5,409,2139,Betatorquevirus,MN770119.1,MN770561.1_1,662
MN770560.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-349-46,93678,TTV-like mini virus,2735,"",373,997,2147,Betatorquevirus,MN770560.1,MN770560.1_1,644
MN770559.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-349-31,93678,TTV-like mini virus,2891,"",182,601,333,Betatorquevirus,MN770559.1,MN770559.1_1,664
MN770558.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-349-13,93678,TTV-like mini virus,2942,"",189,416,1147,Betatorquevirus,MN770558.1,MN770558.1_1,676
MN770557.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-346-18,93678,TTV-like mini virus,2907,"",18,366,1345,Betatorquevirus,MN770701.1,MN770557.1_1,669
MN770556.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-345-9,93678,TTV-like mini virus,2933,"",162,297,1191,Betatorquevirus,MN770556.1,MN770556.1_1,672
MN770555.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-342-14,93678,TTV-like mini virus,2905,"",18,120,1361,Betatorquevirus,MN770555.1,MN770555.1_1,669
MN770554.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-342-12,93678,TTV-like mini virus,2896,"",18,386,426,Betatorquevirus,MN770554.1,MN770554.1_1,667
MN770553.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-341-9,93678,TTV-like mini virus,2910,"",17,42,60,Betatorquevirus,KM259873.1,MN770553.1_1,673
MN770552.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-341-16,93678,TTV-like mini virus,2841,"",39,65,1820,Betatorquevirus,MN770552.1,MN770552.1_1,652
MN770551.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-340-8,93678,TTV-like mini virus,2759,"",78,25,623,Betatorquevirus,MN770653.1,MN770551.1_1,634
MN770550.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-340-6,93678,TTV-like mini virus,2845,"",15,103,6,Betatorquevirus,MN770479.1,MN770550.1_1,652
MN770549.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-338-18,93678,TTV-like mini virus,2765,"",78,25,4,Betatorquevirus,MN770653.1,MN770549.1_1,636
MN770548.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-337-8,93678,TTV-like mini virus,2800,"",115,243,104,Betatorquevirus,MN770962.1,MN770548.1_1,655
MN770547.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-334-18,93678,TTV-like mini virus,2928,"",11,138,24,Betatorquevirus,MN770341.1,MN770547.1_1,673
MN770546.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-33-16,93678,TTV-like mini virus,2897,"",164,259,1431,Betatorquevirus,MN770546.1,MN770546.1_1,652
MN770545.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-331-20,93678,TTV-like mini virus,2791,"",127,234,125,Betatorquevirus,MN771246.1,MN770545.1_1,659
MN770544.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-331-16,93678,TTV-like mini virus,2908,"",69,56,1341,Betatorquevirus,MN770544.1,MN770544.1_1,668
MN770543.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-330-8,93678,TTV-like mini virus,2911,"",52,32,252,Betatorquevirus,MN770543.1,MN770543.1_1,671
MN770542.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-330-6,93678,TTV-like mini virus,2928,"",11,138,24,Betatorquevirus,MN770341.1,MN770542.1_1,673
MN770541.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-330-4,93678,TTV-like mini virus,2998,"",7,440,227,Betatorquevirus,MN770541.1,MN770541.1_1,680
MN770540.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-330-21,93678,TTV-like mini virus,2760,"",78,25,4,Betatorquevirus,MN770653.1,MN770540.1_1,634
MN770539.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-327-8,93678,TTV-like mini virus,2988,"",36,167,151,Betatorquevirus,MN770490.1,MN770539.1_1,670
MN770538.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-327-15,93678,TTV-like mini virus,2899,"",106,142,556,Betatorquevirus,MN770538.1,MN770538.1_1,669
MN770537.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-327-14,93678,TTV-like mini virus,2900,"",17,690,1406,Betatorquevirus,MN770537.1,MN770537.1_1,670
MN770536.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-326-6,93678,TTV-like mini virus,2937,"",11,337,536,Betatorquevirus,MN770382.1,MN770536.1_1,669
MN770535.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-325-19,93678,TTV-like mini virus,2871,"",242,339,1622,Betatorquevirus,MN770535.1,MN770535.1_1,651
MN770534.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-325-17,93678,TTV-like mini virus,2908,"",17,453,262,Betatorquevirus,MN771232.1,MN770534.1_1,675
MN770533.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-324-18,93678,TTV-like mini virus,2844,"",274,584,1804,Betatorquevirus,MN770533.1,MN770533.1_1,664
MN770532.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-321-7,93678,TTV-like mini virus,2954,"",36,809,1099,Betatorquevirus,MN770532.1,MN770532.1_1,669
MN770531.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-32-1,93678,TTV-like mini virus,2897,"",1,102,42,Betatorquevirus,MN770531.1,MN770531.1_1,663
MN770530.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-319-29,93678,TTV-like mini virus,2727,"",85,37,121,Betatorquevirus,MN770395.1,MN770530.1_1,644
MN770529.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-319-15,93678,TTV-like mini virus,2949,"",28,427,1122,Betatorquevirus,MN770529.1,MN770529.1_1,679
MN770528.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-316-26,93678,TTV-like mini virus,2928,"",1,407,399,Betatorquevirus,MN770508.1,MN770528.1_1,673
MN770527.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-316-14,93678,TTV-like mini virus,2924,"",22,460,1233,Betatorquevirus,MN770527.1,MN770527.1_1,673
MN770526.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-314-21,93678,TTV-like mini virus,2784,"",92,125,2080,Betatorquevirus,MN770526.1,MN770526.1_1,644
MN770525.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-312-9,93678,TTV-like mini virus,2891,"",76,168,80,Betatorquevirus,MN770525.1,MN770525.1_1,662
MN770524.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-309-26,93678,TTV-like mini virus,2855,"",151,449,248,Betatorquevirus,MN770470.1,MN770524.1_1,657
MN770523.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-309-24,93678,TTV-like mini virus,2754,"",85,37,121,Betatorquevirus,MN770395.1,MN770523.1_1,644
MN770522.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-308-16,93678,TTV-like mini virus,2824,"",100,54,559,Betatorquevirus,MN770482.1,MN770522.1_1,656
MN770521.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-308-11,93678,TTV-like mini virus,2971,"",22,17,61,Betatorquevirus,MN771177.1,MN770521.1_1,674
MN770520.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-306B-32,93678,TTV-like mini virus,2824,"",61,275,582,Betatorquevirus,MN770520.1,MN770520.1_1,645
MN770519.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-306A-56,93678,TTV-like mini virus,2580,"",333,191,2192,Betatorquevirus,MN770519.1,MN770519.1_1,664
MN770518.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-306A-27,93678,TTV-like mini virus,2773,"",61,275,582,Betatorquevirus,MN770520.1,MN770518.1_1,645
MN770517.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-305-3,93678,TTV-like mini virus,2943,"",184,456,268,Betatorquevirus,MN771180.1,MN770517.1_1,678
MN770516.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-304-14,93678,TTV-like mini virus,2768,"",54,542,2117,Betatorquevirus,MN770516.1,MN770516.1_1,627
MN770515.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-304-12,93678,TTV-like mini virus,2921,"",6,121,1253,Betatorquevirus,MN770515.1,MN770515.1_1,667
MN770514.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-304-10,93678,TTV-like mini virus,2948,"",10,14,45,Betatorquevirus,MN770514.1,MN770514.1_1,663
MN770513.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-301-16,93678,TTV-like mini virus,2753,"",85,37,2134,Betatorquevirus,MN770513.1,MN770513.1_1,644
MN770512.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-297-104,93678,TTV-like mini virus,2845,"",15,103,6,Betatorquevirus,MN770479.1,MN770512.1_1,652
MN770511.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-277-40,93678,TTV-like mini virus,2761,"",60,182,2129,Betatorquevirus,MN770511.1,MN770511.1_1,673
MN770510.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-277-26,93678,TTV-like mini virus,2868,"",89,46,165,Betatorquevirus,MN771135.1,MN770510.1_1,662
MN770509.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-274-27,93678,TTV-like mini virus,2876,"",5,224,1585,Betatorquevirus,MN771006.1,MN770509.1_1,658
MN770508.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-274-17,93678,TTV-like mini virus,2928,"",1,407,399,Betatorquevirus,MN770508.1,MN770508.1_1,673
MN770507.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-274-15,93678,TTV-like mini virus,2935,"",40,613,395,Betatorquevirus,MN770507.1,MN770507.1_1,665
MN770506.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-273-7,93678,TTV-like mini virus,2817,"",102,172,138,Betatorquevirus,MN770506.1,MN770506.1_1,653
MN770505.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-269-4,93678,TTV-like mini virus,2957,"",38,330,141,Betatorquevirus,MN770359.1,MN770505.1_1,680
MN770504.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-267-20,93678,TTV-like mini virus,2905,"",1,36,192,Betatorquevirus,MN769958.1,MN770504.1_1,667
MN770503.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-267-16,93678,TTV-like mini virus,2870,"",5,277,1632,Betatorquevirus,MN770503.1,MN770503.1_1,660
MN770502.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-267-15,93678,TTV-like mini virus,2899,"",4,209,1416,Betatorquevirus,MN770502.1,MN770502.1_1,669
MN770501.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-266-9,93678,TTV-like mini virus,2845,"",125,166,164,Betatorquevirus,MN770501.1,MN770501.1_1,653
MN770500.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-265-23,93678,TTV-like mini virus,2768,"",111,677,2116,Betatorquevirus,MN770500.1,MN770500.1_1,648
MN770499.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-265-22,93678,TTV-like mini virus,2785,"",107,76,66,Betatorquevirus,MN770312.1,MN770499.1_1,644
MN770498.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-265-18,93678,TTV-like mini virus,2898,"",40,156,135,Betatorquevirus,MN770136.1,MN770498.1_1,664
MN770497.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-263-19,93678,TTV-like mini virus,2831,"",9,465,1881,Betatorquevirus,MN770497.1,MN770497.1_1,661
MN770496.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-262-9,93678,TTV-like mini virus,2802,"",84,428,160,Betatorquevirus,MN771141.1,MN770496.1_1,652
MN770495.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-262-10,93678,TTV-like mini virus,2863,"",26,155,1676,Betatorquevirus,MN770495.1,MN770495.1_1,665
MN770494.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-259-11,93678,TTV-like mini virus,2825,"",99,418,384,Betatorquevirus,MN770789.1,MN770494.1_1,655
MN770493.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-254-34,93678,TTV-like mini virus,2748,"",238,593,300,Betatorquevirus,MN770265.1,MN770493.1_1,649
MN770492.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-254-13,93678,TTV-like mini virus,2759,"",78,25,4,Betatorquevirus,MN770653.1,MN770492.1_1,634
MN770491.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-252-14,93678,TTV-like mini virus,2875,"",97,210,213,Betatorquevirus,MN770484.1,MN770491.1_1,671
MN770490.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-251-13,93678,TTV-like mini virus,2988,"",36,167,151,Betatorquevirus,MN770490.1,MN770490.1_1,670
MN770489.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-251-11,93678,TTV-like mini virus,2965,"",7,799,1057,Betatorquevirus,MN770489.1,MN770489.1_1,674
MN770488.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-249-10,93678,TTV-like mini virus,2780,"",54,659,571,Betatorquevirus,MN771171.1,MN770488.1_1,636
MN770487.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-248-8,93678,TTV-like mini virus,2808,"",86,419,351,Betatorquevirus,MN769719.1,MN770487.1_1,662
MN770486.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-245-24,93678,TTV-like mini virus,2780,"",85,37,2093,Betatorquevirus,MN770486.1,MN770486.1_1,644
MN770485.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-245-19,93678,TTV-like mini virus,2902,"",4,257,159,Betatorquevirus,MN770485.1,MN770485.1_1,669
MN770484.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-245-18,93678,TTV-like mini virus,2875,"",97,210,213,Betatorquevirus,MN770484.1,MN770484.1_1,671
MN770483.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-244-6,93678,TTV-like mini virus,2995,"",36,181,988,Betatorquevirus,MN770483.1,MN770483.1_1,681
MN770482.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-242-25,93678,TTV-like mini virus,2864,"",100,54,559,Betatorquevirus,MN770482.1,MN770482.1_1,656
MN770481.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-242-15,93678,TTV-like mini virus,2950,"",38,323,110,Betatorquevirus,MN770476.1,MN770481.1_1,675
MN770480.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-241-23,93678,TTV-like mini virus,2852,"",15,93,1750,Betatorquevirus,MN770480.1,MN770480.1_1,655
MN770479.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-238-14,93678,TTV-like mini virus,2845,"",15,103,6,Betatorquevirus,MN770479.1,MN770479.1_1,652
MN770478.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-235-52,93678,TTV-like mini virus,2780,"",85,37,184,Betatorquevirus,MN770478.1,MN770478.1_1,644
MN770477.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-235-30,93678,TTV-like mini virus,2906,"",52,32,83,Betatorquevirus,MN770781.1,MN770477.1_1,669
MN770476.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-234-8,93678,TTV-like mini virus,2951,"",38,323,110,Betatorquevirus,MN770476.1,MN770476.1_1,675
MN770475.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-232-9,93678,TTV-like mini virus,2994,"",62,410,992,Betatorquevirus,MN770475.1,MN770475.1_1,689
MN770474.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-232-18,93678,TTV-like mini virus,2895,"",2,623,436,Betatorquevirus,MN771154.1,MN770474.1_1,666
MN770473.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-232-17,93678,TTV-like mini virus,2944,"",22,176,35,Betatorquevirus,MN770282.1,MN770473.1_1,678
MN770472.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-229-11,93678,TTV-like mini virus,2829,"",9,539,1894,Betatorquevirus,MN770472.1,MN770472.1_1,663
MN770471.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-225-7,93678,TTV-like mini virus,2870,"",5,70,156,Betatorquevirus,MN770317.1,MN770471.1_1,658
MN770470.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-224-31,93678,TTV-like mini virus,2855,"",151,449,248,Betatorquevirus,MN770470.1,MN770470.1_1,657
MN770469.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-224-28,93678,TTV-like mini virus,2847,"",5,26,1788,Betatorquevirus,MN770469.1,MN770469.1_1,654
MN770468.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-224-26,93678,TTV-like mini virus,2909,"",168,228,1335,Betatorquevirus,MN770468.1,MN770468.1_1,662
MN770467.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-224-20,93678,TTV-like mini virus,2901,"",69,56,342,Betatorquevirus,MN770353.1,MN770467.1_1,666
MN770466.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-12A-5,93678,TTV-like mini virus,2769,"",236,991,2113,Betatorquevirus,MN770466.1,MN770466.1_1,653
MN770465.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-128A-26,93678,TTV-like mini virus,2877,"",12,128,302,Betatorquevirus,MN770465.1,MN770465.1_1,653
