Accession,GenBank_RefSeq,Assembly,SRA_Accession,BioSample,BioProject,Organism_Name,Species,Genus,Family,Genotype,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Publications,Collection_Date,Release_Date,Molecule_type
MN769988.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-628-27,,"MAG: TTV-like mini virus isolate SAfiA-628-27, complete genome",2916,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769989.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-628-29,,"MAG: TTV-like mini virus isolate SAfiA-628-29, complete genome",2885,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769990.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-628-33,,"MAG: TTV-like mini virus isolate SAfiA-628-33, complete genome",2860,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769991.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-647-7,,"MAG: TTV-like mini virus isolate SAfiA-647-7, complete genome",2902,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769992.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-649-13,,"MAG: TTV-like mini virus isolate SAfiA-649-13, complete genome",2859,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769993.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-651-19,,"MAG: TTV-like mini virus isolate SAfiA-651-19, complete genome",2897,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769994.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-658-3,,"MAG: TTV-like mini virus isolate SAfiA-658-3, complete genome",2974,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769995.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-658-6,,"MAG: TTV-like mini virus isolate SAfiA-658-6, complete genome",2920,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769996.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-660-912,,"MAG: TTV-like mini virus isolate SAfiA-660-912, complete genome",2875,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769997.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-674-8,,"MAG: TTV-like mini virus isolate SAfiA-674-8, complete genome",2824,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769998.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-680-3,,"MAG: TTV-like mini virus isolate SAfiA-680-3, complete genome",2952,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769999.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-680-6,,"MAG: TTV-like mini virus isolate SAfiA-680-6, complete genome",2859,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN770000.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-681-9,,"MAG: TTV-like mini virus isolate SAfiA-681-9, complete genome",2866,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN770001.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-71-11,,"MAG: TTV-like mini virus isolate SAfiA-71-11, complete genome",2949,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN770002.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-71-12,,"MAG: TTV-like mini virus isolate SAfiA-71-12, complete genome",2929,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN770003.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-71-5,,"MAG: TTV-like mini virus isolate SAfiA-71-5, complete genome",3039,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN770004.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-74-3,,"MAG: TTV-like mini virus isolate SAfiA-74-3, complete genome",2906,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN770005.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-75-298,,"MAG: TTV-like mini virus isolate SAfiA-75-298, complete genome",2825,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2016,2021-12-19,ssDNA(-)
MN770006.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-758-3,,"MAG: TTV-like mini virus isolate SAfiA-758-3, complete genome",2973,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN770007.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-758-6,,"MAG: TTV-like mini virus isolate SAfiA-758-6, complete genome",2905,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN770008.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-765-5,,"MAG: TTV-like mini virus isolate SAfiA-765-5, complete genome",2928,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN770009.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-766-283,,"MAG: TTV-like mini virus isolate SAfiA-766-283, complete genome",2889,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN770010.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-773-4,,"MAG: TTV-like mini virus isolate SAfiA-773-4, complete genome",2976,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN770011.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-774-154,,"MAG: TTV-like mini virus isolate SAfiA-774-154, complete genome",2938,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN770012.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-77-99,,"MAG: TTV-like mini virus isolate SAfiA-77-99, complete genome",2949,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN770013.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-781-20,,"MAG: TTV-like mini virus isolate SAfiA-781-20, complete genome",2906,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN770014.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-788-3,,"MAG: TTV-like mini virus isolate SAfiA-788-3, complete genome",2891,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN770015.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-795-16,,"MAG: TTV-like mini virus isolate SAfiA-795-16, complete genome",2858,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN770016.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-812-31,,"MAG: TTV-like mini virus isolate SAfiA-812-31, complete genome",2973,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN770017.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-813-453,,"MAG: TTV-like mini virus isolate SAfiA-813-453, complete genome",2876,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN770018.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-81-9,,"MAG: TTV-like mini virus isolate SAfiA-81-9, complete genome",3039,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2016,2021-12-19,ssDNA(-)
MN770019.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-833-13,,"MAG: TTV-like mini virus isolate SAfiA-833-13, complete genome",2905,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN770020.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-833-14,,"MAG: TTV-like mini virus isolate SAfiA-833-14, complete genome",2859,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN770021.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-833-9,,"MAG: TTV-like mini virus isolate SAfiA-833-9, complete genome",2875,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN770022.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-844-5,,"MAG: TTV-like mini virus isolate SAfiA-844-5, complete genome",2857,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN770023.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-854-15,,"MAG: TTV-like mini virus isolate SAfiA-854-15, complete genome",2863,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
