Accession	BioProjects	BioSample accession	Completeness	Gene count	Geographic Location	Geographic Region	Geographic State	Host Common Name	Host Infraspecific Names Breed	Host Infraspecific Names Cultivar	Host Infraspecific Names Ecotype	Host Infraspecific Names Isolate	Host Infraspecific Names Sex	Host Infraspecific Names Strain	Host Name	Host Pangolin Classification	Host Taxonomic ID	Is Annotated	Is Complete	Is Lab Host	Is Vaccine Strain	Isolate Collection date	Isolate Lineage	Isolate Lineage source	Lab Host	Length	Mature peptide count	Molecule type	Nucleotide completeness	Protein count	Purpose of Sampling	Release date	Segment	Source database	SRA Accessions	Submitter Affiliation	Submitter Country	Submitter Names	Update date	Virus Common Name	Virus Infraspecific Names Breed	Virus Infraspecific Names Cultivar	Virus Infraspecific Names Ecotype	Virus Infraspecific Names Isolate	Virus Infraspecific Names Sex	Virus Infraspecific Names Strain	Virus Name	Virus Pangolin Classification	Virus Taxonomic ID
MN770861.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-369-22			2886				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770860.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-316-19			2911				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770859.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-314-26			2894				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770858.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-651-30			2850				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770857.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-609-12			2902				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770856.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-573-33			2879				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770855.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-498-3			2921				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770854.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-476-7			2901				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770853.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-393-21			2846				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770852.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-380-20			2924				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770851.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-355-7			2935				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770850.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-346-19			2899				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770849.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-327-11			2935				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770848.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-316-20			2912				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770847.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-231-9			2861				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770846.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-873-43			2789				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770845.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-869-2			2872				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770844.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-647-6			2906				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770843.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-572-28			2860				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770842.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-500-40			2825				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770841.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-49-17			2785				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770840.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-264-15			2807				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770839.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-223-6			2914				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770838.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-122-11			2860				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770837.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2014	SAfiA-91-13			2942				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770836.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-873-32			2860				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770835.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-858-90			2880				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770834.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-831-8			2931				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770833.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-786-10			2829				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770832.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-686-19			2785				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770831.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-659-14			2785				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770830.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-581-15			2913				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770829.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-578-20			2841				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770828.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-577-131			2824				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770827.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-571-15			2785				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770826.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-539-7			2883				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
MN770825.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-498-9			2873				1		2021-12-19T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Elbanna,G.H.,Tapparel,C.,Zanella,M.C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.,Hartley,M.-A.,Zanella,M.-C.	2021-12-19T00:00:00Z								TTV-like mini virus		93678
